Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,ROC AUC mean,ROC AUC min,ROC AUC max,Accuracy mean,Accuracy min,Accuracy max,Precision mean,Precision min,Precision max,Recall mean,Recall min,Recall max,F1 Score mean,F1 Score min,F1 Score max,Type I Error mean,Type I Error min,Type I Error max,Type II Error mean,Type II Error min,Type II Error max,Epsilon mean,Epsilon min,Epsilon max
16,0.0,0.001,0.0,0.05,False,0.882,0.875,0.888,0.812,0.798,0.822,0.363,0.349,0.374,0.799,0.77,0.837,0.499,0.49,0.509,0.186,0.172,0.207,0.201,0.163,0.23,inf,inf,inf
16,0.0,0.001,0.0,0.1,False,0.888,0.883,0.893,0.811,0.792,0.822,0.364,0.343,0.377,0.82,0.796,0.851,0.504,0.489,0.513,0.19,0.175,0.216,0.18,0.149,0.204,inf,inf,inf
16,0.0,0.001,0.0,0.5,False,0.899,0.896,0.904,0.83,0.822,0.842,0.392,0.38,0.411,0.818,0.788,0.847,0.53,0.521,0.545,0.168,0.152,0.179,0.182,0.153,0.212,inf,inf,inf
16,0.0,0.001,0.0,1.0,False,0.902,0.9,0.905,0.833,0.822,0.838,0.397,0.381,0.405,0.826,0.809,0.839,0.536,0.522,0.542,0.167,0.158,0.179,0.174,0.161,0.191,inf,inf,inf
16,0.0,0.003,0.0,0.05,False,0.881,0.877,0.886,0.813,0.802,0.834,0.365,0.352,0.391,0.794,0.741,0.827,0.499,0.491,0.514,0.184,0.153,0.201,0.206,0.173,0.259,inf,inf,inf
16,0.0,0.003,0.0,0.1,False,0.887,0.879,0.891,0.807,0.773,0.827,0.36,0.324,0.385,0.824,0.804,0.861,0.501,0.471,0.522,0.195,0.171,0.238,0.176,0.139,0.196,inf,inf,inf
16,0.0,0.003,0.0,0.5,False,0.899,0.896,0.901,0.828,0.817,0.842,0.39,0.374,0.408,0.826,0.786,0.846,0.529,0.519,0.537,0.172,0.151,0.187,0.174,0.154,0.214,inf,inf,inf
16,0.0,0.003,0.0,1.0,False,0.9,0.894,0.904,0.832,0.828,0.84,0.395,0.388,0.407,0.821,0.796,0.835,0.534,0.527,0.54,0.166,0.154,0.172,0.179,0.165,0.204,inf,inf,inf
16,0.0,0.005,0.0,0.05,False,0.88,0.876,0.884,0.802,0.78,0.829,0.351,0.328,0.383,0.808,0.763,0.838,0.489,0.471,0.513,0.199,0.163,0.228,0.192,0.162,0.237,inf,inf,inf
16,0.0,0.005,0.0,0.1,False,0.888,0.882,0.895,0.808,0.767,0.827,0.362,0.32,0.385,0.82,0.792,0.877,0.501,0.469,0.518,0.193,0.168,0.247,0.18,0.123,0.208,inf,inf,inf
16,0.0,0.005,0.0,0.5,False,0.897,0.894,0.9,0.827,0.791,0.842,0.389,0.345,0.411,0.825,0.801,0.87,0.528,0.494,0.547,0.173,0.155,0.219,0.175,0.13,0.199,inf,inf,inf
16,0.0,0.005,0.0,1.0,False,0.899,0.894,0.902,0.827,0.816,0.838,0.388,0.372,0.406,0.834,0.816,0.845,0.53,0.517,0.545,0.174,0.16,0.188,0.166,0.155,0.184,inf,inf,inf
16,0.8,0.001,0.5,0.05,True,0.723,0.706,0.748,0.656,0.62,0.716,0.203,0.185,0.231,0.66,0.612,0.712,0.31,0.288,0.335,0.345,0.27,0.392,0.34,0.288,0.388,6.253,6.253,6.253
16,0.8,0.001,0.5,0.1,True,0.746,0.736,0.754,0.646,0.59,0.67,0.208,0.19,0.217,0.717,0.697,0.767,0.322,0.304,0.334,0.363,0.333,0.433,0.283,0.233,0.303,4.277,4.277,4.277
16,0.8,0.001,0.5,0.5,True,0.868,0.86,0.877,0.804,0.762,0.838,0.352,0.311,0.395,0.78,0.724,0.849,0.483,0.455,0.511,0.193,0.147,0.249,0.22,0.151,0.276,2.114,2.114,2.114
16,0.8,0.001,0.5,1.0,True,0.889,0.877,0.895,0.819,0.794,0.842,0.374,0.344,0.406,0.798,0.721,0.847,0.508,0.489,0.53,0.179,0.142,0.213,0.202,0.153,0.279,1.699,1.699,1.699
16,0.8,0.001,1.0,0.05,True,0.727,0.715,0.753,0.655,0.62,0.685,0.203,0.196,0.215,0.661,0.627,0.753,0.31,0.301,0.321,0.345,0.308,0.398,0.339,0.247,0.373,6.253,6.253,6.253
16,0.8,0.001,1.0,0.1,True,0.747,0.736,0.764,0.65,0.604,0.686,0.209,0.196,0.22,0.712,0.663,0.767,0.323,0.312,0.33,0.359,0.311,0.417,0.288,0.233,0.337,4.277,4.277,4.277
16,0.8,0.001,1.0,0.5,True,0.87,0.866,0.875,0.802,0.751,0.842,0.351,0.301,0.401,0.782,0.717,0.848,0.483,0.444,0.515,0.195,0.142,0.261,0.218,0.152,0.283,2.114,2.114,2.114
16,0.8,0.001,1.0,1.0,True,0.887,0.874,0.894,0.812,0.739,0.841,0.367,0.297,0.402,0.801,0.742,0.897,0.501,0.446,0.522,0.186,0.146,0.282,0.199,0.103,0.258,1.699,1.699,1.699
16,0.8,0.001,2.0,0.05,True,0.722,0.707,0.737,0.653,0.603,0.692,0.203,0.191,0.214,0.669,0.61,0.736,0.311,0.297,0.321,0.349,0.297,0.415,0.331,0.264,0.39,6.253,6.253,6.253
16,0.8,0.001,2.0,0.1,True,0.746,0.729,0.759,0.649,0.587,0.68,0.209,0.192,0.22,0.714,0.682,0.79,0.323,0.304,0.335,0.36,0.32,0.44,0.286,0.21,0.318,4.277,4.277,4.277
16,0.8,0.001,2.0,0.5,True,0.865,0.855,0.876,0.797,0.766,0.837,0.342,0.307,0.393,0.774,0.725,0.842,0.473,0.443,0.51,0.2,0.148,0.243,0.226,0.158,0.275,2.114,2.114,2.114
16,0.8,0.001,2.0,1.0,True,0.888,0.879,0.894,0.81,0.752,0.845,0.365,0.307,0.411,0.811,0.762,0.897,0.501,0.458,0.534,0.19,0.144,0.268,0.189,0.103,0.238,1.699,1.699,1.699
16,0.8,0.003,0.5,0.05,True,0.76,0.751,0.768,0.684,0.599,0.726,0.227,0.198,0.247,0.698,0.653,0.795,0.342,0.317,0.358,0.318,0.264,0.427,0.302,0.205,0.347,6.253,6.253,6.253
16,0.8,0.003,0.5,0.1,True,0.799,0.781,0.81,0.711,0.603,0.792,0.256,0.204,0.314,0.731,0.644,0.824,0.375,0.327,0.425,0.292,0.19,0.426,0.269,0.176,0.356,4.277,4.277,4.277
16,0.8,0.003,0.5,0.5,True,0.888,0.877,0.897,0.811,0.738,0.837,0.366,0.299,0.398,0.804,0.757,0.916,0.501,0.45,0.523,0.188,0.153,0.285,0.196,0.084,0.243,2.114,2.114,2.114
16,0.8,0.003,0.5,1.0,True,0.895,0.886,0.9,0.809,0.78,0.832,0.363,0.329,0.394,0.826,0.792,0.849,0.504,0.473,0.528,0.193,0.164,0.229,0.174,0.151,0.208,1.699,1.699,1.699
16,0.8,0.003,1.0,0.05,True,0.758,0.745,0.769,0.686,0.636,0.724,0.227,0.204,0.246,0.692,0.628,0.759,0.341,0.318,0.359,0.315,0.268,0.376,0.308,0.241,0.372,6.253,6.253,6.253
16,0.8,0.003,1.0,0.1,True,0.8,0.786,0.821,0.709,0.578,0.805,0.258,0.197,0.333,0.732,0.638,0.846,0.377,0.319,0.444,0.294,0.176,0.458,0.268,0.154,0.362,4.277,4.277,4.277
16,0.8,0.003,1.0,0.5,True,0.886,0.86,0.896,0.813,0.797,0.836,0.365,0.339,0.397,0.805,0.767,0.836,0.502,0.473,0.523,0.186,0.154,0.206,0.195,0.164,0.233,2.114,2.114,2.114
16,0.8,0.003,1.0,1.0,True,0.891,0.87,0.901,0.816,0.77,0.833,0.371,0.318,0.391,0.807,0.77,0.848,0.508,0.463,0.528,0.183,0.159,0.241,0.193,0.152,0.23,1.699,1.699,1.699
16,0.8,0.003,2.0,0.05,True,0.756,0.745,0.769,0.677,0.599,0.726,0.223,0.198,0.244,0.694,0.639,0.798,0.336,0.318,0.353,0.325,0.263,0.427,0.306,0.202,0.361,6.253,6.253,6.253
16,0.8,0.003,2.0,0.1,True,0.8,0.785,0.818,0.716,0.592,0.8,0.259,0.201,0.32,0.724,0.629,0.838,0.378,0.325,0.432,0.285,0.177,0.441,0.276,0.162,0.371,4.277,4.277,4.277
16,0.8,0.003,2.0,0.5,True,0.889,0.881,0.895,0.826,0.812,0.874,0.384,0.363,0.47,0.781,0.63,0.813,0.513,0.501,0.539,0.168,0.094,0.188,0.219,0.187,0.37,2.114,2.114,2.114
16,0.8,0.003,2.0,1.0,True,0.885,0.841,0.901,0.792,0.695,0.833,0.346,0.252,0.394,0.82,0.782,0.874,0.485,0.386,0.527,0.211,0.161,0.321,0.18,0.126,0.218,1.699,1.699,1.699
16,0.8,0.005,0.5,0.05,True,0.774,0.764,0.785,0.697,0.575,0.797,0.239,0.191,0.301,0.694,0.558,0.817,0.352,0.31,0.391,0.303,0.172,0.457,0.306,0.183,0.442,6.253,6.253,6.253
16,0.8,0.005,0.5,0.1,True,0.832,0.79,0.857,0.729,0.523,0.853,0.292,0.188,0.404,0.751,0.535,0.928,0.408,0.313,0.482,0.274,0.104,0.531,0.249,0.072,0.465,4.277,4.277,4.277
16,0.8,0.005,0.5,0.5,True,0.886,0.87,0.896,0.801,0.738,0.826,0.352,0.29,0.38,0.817,0.781,0.853,0.491,0.432,0.511,0.201,0.169,0.277,0.183,0.147,0.219,2.114,2.114,2.114
16,0.8,0.005,0.5,1.0,True,0.893,0.863,0.901,0.815,0.794,0.83,0.369,0.345,0.39,0.813,0.744,0.852,0.508,0.489,0.526,0.184,0.167,0.214,0.187,0.148,0.256,1.699,1.699,1.699
16,0.8,0.005,1.0,0.05,True,0.776,0.764,0.786,0.695,0.571,0.792,0.239,0.191,0.302,0.7,0.595,0.828,0.353,0.311,0.401,0.306,0.182,0.463,0.3,0.172,0.405,6.253,6.253,6.253
16,0.8,0.005,1.0,0.1,True,0.838,0.809,0.858,0.719,0.553,0.853,0.282,0.197,0.412,0.783,0.59,0.916,0.406,0.324,0.485,0.289,0.112,0.495,0.217,0.084,0.41,4.277,4.277,4.277
16,0.8,0.005,1.0,0.5,True,0.886,0.853,0.898,0.811,0.787,0.843,0.363,0.337,0.409,0.806,0.755,0.853,0.5,0.468,0.533,0.189,0.147,0.22,0.194,0.147,0.245,2.114,2.114,2.114
16,0.8,0.005,1.0,1.0,True,0.892,0.854,0.904,0.801,0.659,0.844,0.36,0.238,0.409,0.823,0.754,0.871,0.498,0.374,0.533,0.202,0.144,0.369,0.177,0.129,0.246,1.699,1.699,1.699
16,0.8,0.005,2.0,0.05,True,0.781,0.771,0.799,0.716,0.573,0.807,0.255,0.194,0.32,0.693,0.576,0.843,0.368,0.316,0.411,0.281,0.162,0.463,0.307,0.157,0.424,6.253,6.253,6.253
16,0.8,0.005,2.0,0.1,True,0.832,0.798,0.852,0.684,0.493,0.833,0.261,0.181,0.38,0.803,0.681,0.949,0.385,0.305,0.489,0.331,0.148,0.567,0.197,0.051,0.319,4.277,4.277,4.277
16,0.8,0.005,2.0,0.5,True,0.889,0.878,0.899,0.808,0.775,0.83,0.361,0.329,0.39,0.815,0.788,0.886,0.5,0.48,0.525,0.192,0.166,0.239,0.185,0.114,0.212,2.114,2.114,2.114
16,0.8,0.005,2.0,1.0,True,0.889,0.85,0.9,0.794,0.654,0.832,0.352,0.235,0.391,0.826,0.784,0.866,0.491,0.369,0.527,0.21,0.162,0.374,0.174,0.134,0.216,1.699,1.699,1.699
16,1.1,0.001,0.5,0.05,True,0.72,0.695,0.735,0.653,0.603,0.707,0.201,0.187,0.218,0.655,0.581,0.718,0.307,0.29,0.322,0.347,0.277,0.412,0.345,0.282,0.419,3.296,3.296,3.296
16,1.1,0.001,0.5,0.1,True,0.749,0.742,0.755,0.648,0.586,0.67,0.209,0.191,0.216,0.715,0.674,0.785,0.323,0.307,0.332,0.361,0.33,0.44,0.285,0.215,0.326,2.266,2.266,2.266
16,1.1,0.001,0.5,0.5,True,0.867,0.862,0.874,0.801,0.755,0.834,0.347,0.303,0.389,0.779,0.729,0.841,0.479,0.446,0.507,0.196,0.152,0.256,0.221,0.159,0.271,1.058,1.058,1.058
16,1.1,0.001,0.5,1.0,True,0.886,0.874,0.894,0.815,0.789,0.845,0.369,0.334,0.412,0.799,0.758,0.844,0.504,0.473,0.534,0.183,0.144,0.214,0.201,0.156,0.242,0.849,0.849,0.849
16,1.1,0.001,1.0,0.05,True,0.722,0.709,0.731,0.65,0.61,0.678,0.2,0.191,0.21,0.662,0.618,0.72,0.307,0.3,0.317,0.352,0.314,0.405,0.338,0.28,0.382,3.296,3.296,3.296
16,1.1,0.001,1.0,0.1,True,0.747,0.734,0.765,0.653,0.582,0.677,0.21,0.186,0.22,0.707,0.677,0.758,0.323,0.298,0.335,0.355,0.323,0.441,0.293,0.242,0.323,2.266,2.266,2.266
16,1.1,0.001,1.0,0.5,True,0.865,0.854,0.876,0.8,0.759,0.835,0.346,0.3,0.389,0.775,0.721,0.822,0.477,0.436,0.508,0.197,0.15,0.246,0.225,0.178,0.279,1.058,1.058,1.058
16,1.1,0.001,1.0,1.0,True,0.888,0.875,0.895,0.815,0.761,0.842,0.371,0.314,0.409,0.807,0.759,0.882,0.507,0.463,0.536,0.184,0.149,0.255,0.193,0.118,0.241,0.849,0.849,0.849
16,1.1,0.001,2.0,0.05,True,0.721,0.705,0.735,0.658,0.617,0.709,0.203,0.187,0.224,0.65,0.605,0.692,0.309,0.288,0.328,0.341,0.277,0.393,0.35,0.308,0.395,3.296,3.296,3.296
16,1.1,0.001,2.0,0.1,True,0.74,0.727,0.747,0.645,0.604,0.665,0.205,0.194,0.21,0.706,0.67,0.757,0.318,0.309,0.323,0.363,0.336,0.416,0.294,0.243,0.33,2.266,2.266,2.266
16,1.1,0.001,2.0,0.5,True,0.866,0.85,0.874,0.799,0.777,0.829,0.344,0.318,0.38,0.779,0.737,0.826,0.477,0.454,0.502,0.198,0.159,0.225,0.221,0.174,0.263,1.058,1.058,1.058
16,1.1,0.001,2.0,1.0,True,0.886,0.873,0.895,0.809,0.777,0.836,0.362,0.324,0.397,0.811,0.781,0.841,0.5,0.466,0.527,0.191,0.157,0.23,0.189,0.159,0.219,0.849,0.849,0.849
16,1.1,0.003,0.5,0.05,True,0.761,0.749,0.774,0.68,0.599,0.74,0.226,0.198,0.257,0.699,0.643,0.797,0.34,0.317,0.368,0.323,0.248,0.427,0.301,0.203,0.357,3.296,3.296,3.296
16,1.1,0.003,0.5,0.1,True,0.795,0.78,0.816,0.713,0.574,0.776,0.254,0.195,0.293,0.719,0.637,0.843,0.373,0.316,0.403,0.288,0.206,0.462,0.281,0.157,0.363,2.266,2.266,2.266
16,1.1,0.003,0.5,0.5,True,0.887,0.879,0.896,0.812,0.756,0.862,0.368,0.307,0.443,0.801,0.69,0.86,0.502,0.452,0.539,0.186,0.115,0.258,0.199,0.14,0.31,1.058,1.058,1.058
16,1.1,0.003,0.5,1.0,True,0.886,0.843,0.903,0.805,0.687,0.85,0.362,0.25,0.418,0.805,0.716,0.856,0.496,0.385,0.537,0.195,0.132,0.333,0.195,0.144,0.284,0.849,0.849,0.849
16,1.1,0.003,1.0,0.05,True,0.762,0.753,0.767,0.681,0.58,0.742,0.226,0.193,0.254,0.7,0.623,0.812,0.341,0.311,0.361,0.322,0.242,0.451,0.3,0.188,0.377,3.296,3.296,3.296
16,1.1,0.003,1.0,0.1,True,0.796,0.775,0.81,0.715,0.605,0.814,0.258,0.209,0.338,0.72,0.614,0.851,0.376,0.335,0.436,0.285,0.159,0.428,0.28,0.149,0.386,2.266,2.266,2.266
16,1.1,0.003,1.0,0.5,True,0.888,0.872,0.897,0.824,0.793,0.874,0.383,0.341,0.47,0.781,0.63,0.834,0.511,0.482,0.54,0.17,0.094,0.211,0.219,0.166,0.37,1.058,1.058,1.058
16,1.1,0.003,1.0,1.0,True,0.895,0.886,0.902,0.808,0.779,0.833,0.361,0.328,0.393,0.829,0.79,0.849,0.503,0.473,0.525,0.195,0.162,0.23,0.171,0.151,0.21,0.849,0.849,0.849
16,1.1,0.003,2.0,0.05,True,0.759,0.75,0.766,0.677,0.619,0.725,0.223,0.203,0.247,0.702,0.657,0.769,0.338,0.321,0.359,0.327,0.266,0.401,0.298,0.231,0.343,3.296,3.296,3.296
16,1.1,0.003,2.0,0.1,True,0.803,0.787,0.818,0.713,0.607,0.789,0.257,0.205,0.31,0.737,0.656,0.821,0.379,0.328,0.421,0.29,0.194,0.422,0.263,0.179,0.344,2.266,2.266,2.266
16,1.1,0.003,2.0,0.5,True,0.888,0.881,0.898,0.816,0.774,0.865,0.371,0.323,0.448,0.798,0.672,0.847,0.505,0.468,0.538,0.182,0.11,0.235,0.202,0.153,0.328,1.058,1.058,1.058
16,1.1,0.003,2.0,1.0,True,0.893,0.881,0.9,0.806,0.787,0.827,0.358,0.339,0.386,0.829,0.8,0.871,0.5,0.489,0.522,0.198,0.17,0.225,0.171,0.129,0.2,0.849,0.849,0.849
16,1.1,0.005,0.5,0.05,True,0.781,0.769,0.799,0.711,0.599,0.81,0.251,0.202,0.32,0.692,0.551,0.822,0.364,0.324,0.412,0.286,0.155,0.43,0.308,0.178,0.449,3.296,3.296,3.296
16,1.1,0.005,0.5,0.1,True,0.827,0.776,0.853,0.725,0.522,0.824,0.281,0.187,0.37,0.763,0.632,0.922,0.405,0.311,0.486,0.28,0.155,0.531,0.237,0.078,0.368,2.266,2.266,2.266
16,1.1,0.005,0.5,0.5,True,0.882,0.852,0.895,0.804,0.734,0.828,0.355,0.28,0.383,0.806,0.773,0.838,0.492,0.416,0.52,0.197,0.165,0.275,0.194,0.162,0.227,1.058,1.058,1.058
16,1.1,0.005,0.5,1.0,True,0.897,0.884,0.902,0.816,0.778,0.854,0.374,0.326,0.426,0.817,0.726,0.857,0.512,0.47,0.537,0.184,0.129,0.231,0.183,0.143,0.274,0.849,0.849,0.849
16,1.1,0.005,1.0,0.05,True,0.78,0.769,0.797,0.72,0.597,0.809,0.256,0.199,0.319,0.686,0.556,0.811,0.369,0.32,0.408,0.275,0.158,0.431,0.314,0.189,0.444,3.296,3.296,3.296
16,1.1,0.005,1.0,0.1,True,0.841,0.81,0.856,0.742,0.539,0.858,0.299,0.192,0.423,0.763,0.585,0.919,0.421,0.318,0.491,0.261,0.106,0.512,0.237,0.081,0.415,2.266,2.266,2.266
16,1.1,0.005,1.0,0.5,True,0.887,0.866,0.899,0.811,0.765,0.83,0.364,0.309,0.384,0.807,0.747,0.871,0.501,0.448,0.52,0.189,0.159,0.241,0.193,0.129,0.253,1.058,1.058,1.058
16,1.1,0.005,1.0,1.0,True,0.892,0.86,0.902,0.806,0.767,0.827,0.359,0.318,0.388,0.829,0.74,0.865,0.501,0.465,0.528,0.197,0.172,0.246,0.171,0.135,0.26,0.849,0.849,0.849
16,1.1,0.005,2.0,0.05,True,0.777,0.762,0.789,0.697,0.554,0.798,0.242,0.186,0.312,0.697,0.576,0.829,0.355,0.303,0.411,0.303,0.176,0.482,0.303,0.171,0.424,3.296,3.296,3.296
16,1.1,0.005,2.0,0.1,True,0.839,0.803,0.859,0.723,0.517,0.837,0.288,0.186,0.385,0.779,0.628,0.928,0.41,0.31,0.497,0.285,0.137,0.537,0.221,0.072,0.372,2.266,2.266,2.266
16,1.1,0.005,2.0,0.5,True,0.89,0.886,0.896,0.814,0.79,0.834,0.368,0.34,0.395,0.81,0.766,0.84,0.505,0.484,0.525,0.186,0.159,0.216,0.19,0.16,0.234,1.058,1.058,1.058
16,1.1,0.005,2.0,1.0,True,0.891,0.861,0.904,0.813,0.779,0.846,0.367,0.33,0.415,0.808,0.71,0.856,0.504,0.475,0.543,0.186,0.146,0.231,0.192,0.144,0.29,0.849,0.849,0.849
16,1.5,0.001,0.5,0.05,True,0.73,0.716,0.743,0.655,0.619,0.69,0.206,0.195,0.221,0.678,0.635,0.726,0.315,0.302,0.33,0.348,0.305,0.395,0.322,0.274,0.365,2.093,2.093,2.093
16,1.5,0.001,0.5,0.1,True,0.746,0.737,0.757,0.65,0.593,0.671,0.209,0.189,0.22,0.709,0.672,0.754,0.322,0.302,0.336,0.357,0.33,0.428,0.291,0.246,0.328,1.453,1.453,1.453
16,1.5,0.001,0.5,0.5,True,0.863,0.827,0.87,0.799,0.757,0.829,0.344,0.291,0.379,0.774,0.729,0.822,0.476,0.42,0.499,0.198,0.158,0.242,0.226,0.178,0.271,0.643,0.643,0.643
16,1.5,0.001,0.5,1.0,True,0.888,0.88,0.894,0.815,0.75,0.848,0.372,0.305,0.417,0.802,0.752,0.89,0.506,0.455,0.537,0.184,0.139,0.268,0.198,0.11,0.248,0.486,0.486,0.486
16,1.5,0.001,1.0,0.05,True,0.719,0.689,0.738,0.648,0.612,0.685,0.2,0.185,0.216,0.665,0.626,0.723,0.307,0.29,0.324,0.354,0.309,0.403,0.335,0.277,0.374,2.093,2.093,2.093
16,1.5,0.001,1.0,0.1,True,0.747,0.74,0.76,0.649,0.594,0.669,0.208,0.193,0.217,0.712,0.682,0.773,0.322,0.308,0.331,0.36,0.332,0.43,0.288,0.227,0.318,1.453,1.453,1.453
16,1.5,0.001,1.0,0.5,True,0.865,0.858,0.874,0.796,0.763,0.837,0.342,0.305,0.393,0.78,0.716,0.819,0.474,0.442,0.507,0.202,0.147,0.242,0.22,0.181,0.284,0.643,0.643,0.643
16,1.5,0.001,1.0,1.0,True,0.888,0.875,0.893,0.806,0.778,0.827,0.358,0.324,0.385,0.818,0.789,0.866,0.497,0.464,0.517,0.196,0.168,0.233,0.182,0.134,0.211,0.486,0.486,0.486
16,1.5,0.001,2.0,0.05,True,0.727,0.714,0.739,0.656,0.618,0.69,0.204,0.193,0.221,0.667,0.625,0.731,0.313,0.3,0.33,0.345,0.305,0.396,0.333,0.269,0.375,2.093,2.093,2.093
16,1.5,0.001,2.0,0.1,True,0.748,0.736,0.761,0.646,0.589,0.667,0.208,0.191,0.218,0.718,0.674,0.779,0.322,0.307,0.334,0.364,0.335,0.437,0.282,0.221,0.326,1.453,1.453,1.453
16,1.5,0.001,2.0,0.5,True,0.87,0.861,0.876,0.805,0.767,0.839,0.353,0.314,0.399,0.78,0.718,0.841,0.484,0.458,0.518,0.192,0.147,0.243,0.22,0.159,0.282,0.643,0.643,0.643
16,1.5,0.001,2.0,1.0,True,0.89,0.881,0.894,0.816,0.77,0.845,0.371,0.322,0.412,0.809,0.767,0.877,0.508,0.471,0.537,0.183,0.145,0.245,0.191,0.123,0.233,0.486,0.486,0.486
16,1.5,0.003,0.5,0.05,True,0.756,0.75,0.77,0.682,0.613,0.724,0.225,0.198,0.244,0.693,0.646,0.756,0.339,0.314,0.354,0.32,0.266,0.406,0.307,0.244,0.354,2.093,2.093,2.093
16,1.5,0.003,0.5,0.1,True,0.8,0.784,0.812,0.721,0.583,0.809,0.263,0.201,0.332,0.719,0.624,0.858,0.382,0.325,0.433,0.278,0.166,0.453,0.281,0.142,0.376,1.453,1.453,1.453
16,1.5,0.003,0.5,0.5,True,0.884,0.863,0.896,0.809,0.765,0.841,0.362,0.307,0.402,0.803,0.738,0.859,0.497,0.445,0.52,0.19,0.146,0.242,0.197,0.141,0.262,0.643,0.643,0.643
16,1.5,0.003,0.5,1.0,True,0.891,0.872,0.901,0.81,0.772,0.836,0.364,0.322,0.398,0.817,0.775,0.857,0.503,0.468,0.529,0.191,0.158,0.239,0.183,0.143,0.225,0.486,0.486,0.486
16,1.5,0.003,1.0,0.05,True,0.758,0.751,0.768,0.68,0.621,0.73,0.224,0.202,0.251,0.701,0.663,0.758,0.339,0.319,0.364,0.323,0.261,0.397,0.299,0.242,0.337,2.093,2.093,2.093
16,1.5,0.003,1.0,0.1,True,0.797,0.783,0.814,0.709,0.588,0.785,0.254,0.202,0.306,0.726,0.627,0.858,0.373,0.328,0.421,0.293,0.193,0.448,0.274,0.142,0.373,1.453,1.453,1.453
16,1.5,0.003,1.0,0.5,True,0.887,0.876,0.897,0.815,0.804,0.835,0.368,0.352,0.396,0.803,0.749,0.828,0.504,0.489,0.525,0.184,0.157,0.199,0.197,0.172,0.251,0.643,0.643,0.643
16,1.5,0.003,1.0,1.0,True,0.89,0.871,0.9,0.811,0.781,0.836,0.365,0.329,0.395,0.816,0.728,0.859,0.504,0.472,0.524,0.189,0.15,0.226,0.184,0.141,0.272,0.486,0.486,0.486
16,1.5,0.003,2.0,0.05,True,0.759,0.746,0.77,0.683,0.597,0.726,0.226,0.198,0.248,0.692,0.623,0.799,0.339,0.317,0.361,0.318,0.266,0.43,0.308,0.201,0.377,2.093,2.093,2.093
16,1.5,0.003,2.0,0.1,True,0.795,0.78,0.806,0.712,0.6,0.794,0.255,0.205,0.311,0.721,0.627,0.844,0.373,0.33,0.416,0.289,0.184,0.433,0.279,0.156,0.373,1.453,1.453,1.453
16,1.5,0.003,2.0,0.5,True,0.886,0.878,0.893,0.824,0.808,0.87,0.381,0.359,0.46,0.778,0.644,0.816,0.509,0.494,0.537,0.17,0.1,0.192,0.222,0.184,0.356,0.643,0.643,0.643
16,1.5,0.003,2.0,1.0,True,0.892,0.876,0.899,0.821,0.806,0.843,0.377,0.358,0.406,0.804,0.736,0.831,0.512,0.5,0.524,0.177,0.143,0.197,0.196,0.169,0.264,0.486,0.486,0.486
16,1.5,0.005,0.5,0.05,True,0.775,0.759,0.789,0.698,0.593,0.787,0.24,0.2,0.295,0.702,0.593,0.824,0.355,0.322,0.394,0.302,0.188,0.437,0.298,0.176,0.407,2.093,2.093,2.093
16,1.5,0.005,0.5,0.1,True,0.837,0.796,0.861,0.732,0.552,0.819,0.287,0.199,0.354,0.772,0.664,0.932,0.413,0.327,0.461,0.273,0.161,0.498,0.228,0.068,0.336,1.453,1.453,1.453
16,1.5,0.005,0.5,0.5,True,0.884,0.865,0.896,0.812,0.795,0.846,0.364,0.339,0.412,0.799,0.73,0.837,0.499,0.476,0.529,0.187,0.14,0.207,0.201,0.163,0.27,0.643,0.643,0.643
16,1.5,0.005,0.5,1.0,True,0.891,0.865,0.9,0.814,0.786,0.838,0.368,0.336,0.401,0.81,0.75,0.856,0.505,0.483,0.53,0.186,0.155,0.224,0.19,0.144,0.25,0.486,0.486,0.486
16,1.5,0.005,1.0,0.05,True,0.779,0.765,0.797,0.715,0.579,0.806,0.251,0.195,0.319,0.687,0.58,0.833,0.365,0.316,0.412,0.281,0.164,0.455,0.313,0.167,0.42,2.093,2.093,2.093
16,1.5,0.005,1.0,0.1,True,0.831,0.794,0.852,0.707,0.582,0.834,0.27,0.207,0.383,0.784,0.662,0.908,0.395,0.337,0.49,0.303,0.146,0.462,0.216,0.092,0.338,1.453,1.453,1.453
16,1.5,0.005,1.0,0.5,True,0.886,0.873,0.898,0.817,0.775,0.846,0.372,0.324,0.408,0.789,0.704,0.854,0.504,0.47,0.53,0.179,0.135,0.236,0.211,0.146,0.296,0.643,0.643,0.643
16,1.5,0.005,1.0,1.0,True,0.897,0.889,0.905,0.809,0.757,0.835,0.366,0.31,0.397,0.83,0.791,0.877,0.507,0.458,0.534,0.194,0.16,0.259,0.17,0.123,0.209,0.486,0.486,0.486
16,1.5,0.005,2.0,0.05,True,0.774,0.757,0.789,0.695,0.586,0.789,0.238,0.197,0.293,0.7,0.57,0.821,0.353,0.317,0.387,0.306,0.182,0.445,0.3,0.179,0.43,2.093,2.093,2.093
16,1.5,0.005,2.0,0.1,True,0.836,0.802,0.854,0.721,0.57,0.855,0.29,0.203,0.418,0.769,0.612,0.909,0.408,0.331,0.497,0.286,0.113,0.474,0.231,0.091,0.388,1.453,1.453,1.453
16,1.5,0.005,2.0,0.5,True,0.889,0.884,0.899,0.821,0.789,0.875,0.38,0.339,0.473,0.786,0.631,0.845,0.509,0.484,0.541,0.174,0.093,0.218,0.214,0.155,0.369,0.643,0.643,0.643
